t,Step,AgentID,v,geometry,speed,x,y
2025-10-07 10:47:58.861075,1150,1030,0.31376929836070455,POINT (-4.486577449832022 48.356879529209365),0.9757533941047966,-4.486577449832022,48.356879529209365
2025-10-07 10:48:08.861075,1160,1030,0.41376929836070464,POINT (-4.486444699494397 48.35679906476758),1.3298243364419151,-4.486444699494397,48.35679906476758
2025-10-07 10:48:18.861075,1170,1030,0.5137692983607047,POINT (-4.486356469341881 48.356661313732594),1.6654770166044908,-4.486356469341881,48.356661313732594
2025-10-07 10:48:28.861075,1180,1030,0.6137692983607048,POINT (-4.486227731361465 48.35650126530206),2.0192987610531734,-4.486227731361465,48.35650126530206
2025-10-07 10:48:38.861075,1190,1030,0.2790979915422531,POINT (-4.486157019733901 48.35644188306709),0.8429918777783432,-4.486157019733901,48.35644188306709
2025-10-07 10:48:48.861075,1200,1030,0.3790979915422532,POINT (-4.486056102111361 48.35635713443126),1.2030946643880747,-4.486056102111361,48.35635713443126
2025-10-07 10:48:58.861075,1210,1030,0.4790979915422533,POINT (-4.485924978493845 48.35624701939456),1.5631981333924716,-4.485924978493845,48.35624701939456
2025-10-07 10:49:08.861075,1220,1030,0.5790979915422534,POINT (-4.485763648881352 48.35611153795699),1.9233024895874948,-4.485763648881352,48.35611153795699
2025-10-07 10:49:18.861075,1230,1030,0.6790979915422535,POINT (-4.485546281720683 48.355966861744335),2.2766559984624064,-4.485546281720683,48.355966861744335
2025-10-07 10:49:28.861075,1240,1030,0.19637318784732516,POINT (-4.485408382425127 48.35591241829844),1.1878328372556275,-4.485408382425127,48.35591241829844
2025-10-07 10:49:38.861075,1250,1030,0.29637318784732525,POINT (-4.4853056583797635 48.355866928029485),0.9140255899010468,-4.4853056583797635,48.355866928029485
2025-10-07 10:49:48.861075,1260,1030,0.1,POINT (-4.485174180514955 48.35580870443237),1.169874266505561,-4.485174180514955,48.35580870443237
2025-10-07 10:49:58.861075,1270,1030,0.2000000000000001,POINT (-4.48511083952315 48.35578065453672),0.5636008742272084,-4.48511083952315,48.35578065453672
2025-10-07 10:50:08.861075,1280,1030,0.30000000000000016,POINT (-4.485007957975745 48.35573332784756),0.9264450144146675,-4.485007957975745,48.35573332784756
2025-10-07 10:50:18.861075,1290,1030,0.40000000000000024,POINT (-4.4848682916505895 48.35566426924211),1.2888291477312184,-4.4848682916505895,48.35566426924211
2025-10-07 10:50:28.861075,1300,1030,0.5000000000000003,POINT (-4.484689282698629 48.35557575750836),1.6518812464744166,-4.484689282698629,48.35557575750836
2025-10-07 10:50:38.861075,1310,1030,0.439318346767948,POINT (-4.484508860949769 48.35548654721121),1.6649202890912647,-4.484508860949769,48.35548654721121
2025-10-07 10:50:48.861075,1320,1030,0.5393183467679481,POINT (-4.484314383127375 48.355390386829015),1.7946309203896864,-4.484314383127375,48.355390386829015
2025-10-07 10:50:58.861075,1330,1030,0.6393183467679482,POINT (-4.484098389278866 48.35526165288289),2.147461530881863,-4.484098389278866,48.35526165288289
2025-10-07 10:51:08.861075,1340,1030,0.7393183467679483,POINT (-4.483865623728809 48.35509822313384),2.505674260337968,-4.483865623728809,48.35509822313384
2025-10-07 10:51:18.861075,1350,1030,0.8393183467679484,POINT (-4.483634282703047 48.354892693164096),2.8570570199391603,-4.483634282703047,48.354892693164096
2025-10-07 10:51:28.861075,1360,1030,0.9393183467679485,POINT (-4.483382899199658 48.35465701716167),3.215401682804603,-4.483382899199658,48.35465701716167
2025-10-07 10:51:38.861075,1370,1030,1.0393183467679485,POINT (-4.4831034067455455 48.35439498857425),3.574944013667161,-4.4831034067455455,48.35439498857425
